,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes
,03/01/2022,04/01/2022,05/01/2022,06/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,31/01/2022
jose a conchello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jose garza ramirez,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jose luna ayala,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jose marti,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jose refugio velazquez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
juan g alvarado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juan i ramon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juan mendez,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juarez,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
julio a roca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
junco de la vega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
justiniano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
juventino rosas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la alianza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la luz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lago erie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
laredo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
las rocas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lazaro cardenas,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0
leon guzman,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
leones,1,3,2,3,1,2,1,0,0,1,2,1,0,3,2,2,1
ley de reforma agraria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libertad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lincoln,0,2,1,3,0,1,0,2,3,2,2,0,3,1,0,1,0
luis d colosio,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
luis echeverria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luis m farias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
luis moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
madero,0,0,1,0,2,1,0,1,0,0,2,1,1,0,2,0,1
madero prol,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
magallanes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
manuel de la peña y peña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manuel l barragan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
mar de japon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mar de las antillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marcelino m lacas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mariano azueta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matamoros,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
miguel barragan,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
mision cumbres,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mm de llano,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
modesto arreola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monte everest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morones prieto,0,0,2,0,2,0,2,1,0,0,0,0,1,0,1,0,0
muserola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napoleon bonaparte,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nepenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
niños heroes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no reeleccion,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
nogal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nueva independencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuevo mexico,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ocampo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
orion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
osvaldo sanchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pablo a de la garza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pablo gonzalez g.,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
padre mier,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
palacio de justicia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paseo de cumbres,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pedro infante,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pedro martinez,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pelicano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penitenciaria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
periodistas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pez tambor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pino suarez,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
pirineos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platon sanchez,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
plumbago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
porfirio diaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portal del huajuco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portugal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
